no,hora,func,valor,unidade,auto
129,08:29:24,DC,0,024,A,A
130,08:29:25,DC,0,024,A,A
131,08:29:26,DC,0,023,A,A
132,08:29:27,DC,0,023,A,A
133,08:29:28,DC,0,023,A,A
134,08:29:29,DC,0,023,A,A
135,08:29:30,DC,0,023,A,A
136,08:29:31,DC,0,024,A,A
137,08:29:32,DC,0,024,A,A
138,08:29:33,DC,0,024,A,A
139,08:29:34,DC,0,023,A,A
140,08:29:35,DC,0,023,A,A
141,08:29:36,DC,0,023,A,A
142,08:29:37,DC,0,023,A,A
143,08:29:38,DC,0,023,A,A
144,08:29:39,DC,0,023,A,A
145,08:29:40,DC,0,023,A,A
146,08:29:41,DC,0,023,A,A
147,08:29:42,DC,0,023,A,A
148,08:29:43,DC,0,023,A,A
149,08:29:44,DC,0,023,A,A
150,08:29:45,DC,0,024,A,A
151,08:29:46,DC,0,024,A,A
152,08:29:47,DC,0,023,A,A
153,08:29:48,DC,0,023,A,A
154,08:29:49,DC,0,023,A,A
155,08:29:50,DC,0,023,A,A
156,08:29:51,DC,0,024,A,A
157,08:29:52,DC,0,023,A,A
158,08:29:53,DC,0,023,A,A
159,08:29:54,DC,0,024,A,A
160,08:29:55,DC,0,024,A,A
161,08:29:56,DC,0,024,A,A
162,08:29:57,DC,0,023,A,A
163,08:29:58,DC,0,023,A,A
164,08:29:59,DC,0,023,A,A
165,08:30:00,DC,0,024,A,A
166,08:30:01,DC,0,024,A,A
167,08:30:02,DC,0,024,A,A
168,08:30:03,DC,0,024,A,A
169,08:30:04,DC,0,023,A,A
170,08:30:05,DC,0,023,A,A
171,08:30:06,DC,0,023,A,A
172,08:30:07,DC,0,022,A,A
173,08:30:08,DC,0,02,A,A
174,08:30:09,DC,0,018,A,A
175,08:30:10,DC,0,018,A,A
176,08:30:11,DC,0,018,A,A
177,08:30:12,DC,0,018,A,A
178,08:30:13,DC,0,018,A,A
179,08:30:14,DC,0,018,A,A
180,08:30:15,DC,0,018,A,A
181,08:30:16,DC,0,018,A,A
182,08:30:17,DC,0,017,A,A
183,08:30:18,DC,0,017,A,A
184,08:30:19,DC,0,017,A,A
185,08:30:20,DC,0,018,A,A
186,08:30:21,DC,0,018,A,A
187,08:30:22,DC,0,018,A,A
188,08:30:23,DC,0,018,A,A
189,08:30:24,DC,0,018,A,A
190,08:30:25,DC,0,018,A,A
191,08:30:26,DC,0,018,A,A
192,08:30:27,DC,0,018,A,A
193,08:30:28,DC,0,018,A,A
194,08:30:29,DC,0,018,A,A
195,08:30:30,DC,0,018,A,A
196,08:30:31,DC,0,018,A,A
197,08:30:32,DC,0,018,A,A
198,08:30:33,DC,0,018,A,A
199,08:30:34,DC,0,018,A,A
200,08:30:35,DC,0,018,A,A
201,08:30:36,DC,0,018,A,A
202,08:30:37,DC,0,018,A,A
203,08:30:38,DC,0,018,A,A
204,08:30:39,DC,0,018,A,A
205,08:30:40,DC,0,018,A,A
206,08:30:41,DC,0,018,A,A
207,08:30:42,DC,0,018,A,A
208,08:30:43,DC,0,018,A,A
209,08:30:44,DC,0,018,A,A
210,08:30:45,DC,0,018,A,A
211,08:30:46,DC,0,018,A,A
212,08:30:47,DC,0,018,A,A
213,08:30:48,DC,0,018,A,A
214,08:30:49,DC,0,018,A,A
215,08:30:50,DC,0,018,A,A
216,08:30:51,DC,0,018,A,A
217,08:30:52,DC,0,018,A,A
218,08:30:53,DC,0,018,A,A
219,08:30:54,DC,0,018,A,A
220,08:30:55,DC,0,018,A,A
221,08:30:56,DC,0,018,A,A
222,08:30:57,DC,0,018,A,A
223,08:30:58,DC,0,018,A,A
224,08:30:59,DC,0,018,A,A
225,08:31:00,DC,0,018,A,A
226,08:31:01,DC,0,018,A,A
227,08:31:02,DC,0,018,A,A
228,08:31:03,DC,0,018,A,A
229,08:31:04,DC,0,018,A,A
230,08:31:05,DC,0,018,A,A
231,08:31:06,DC,0,018,A,A
232,08:31:07,DC,0,019,A,A
233,08:31:08,DC,0,022,A,A
234,08:31:09,DC,0,023,A,A
235,08:31:10,DC,0,023,A,A
236,08:31:11,DC,0,023,A,A
237,08:31:12,DC,0,023,A,A
238,08:31:13,DC,0,024,A,A
239,08:31:14,DC,0,023,A,A
240,08:31:15,DC,0,023,A,A
241,08:31:16,DC,0,024,A,A
242,08:31:17,DC,0,024,A,A
243,08:31:18,DC,0,023,A,A
244,08:31:19,DC,0,023,A,A
245,08:31:20,DC,0,023,A,A
246,08:31:21,DC,0,023,A,A
247,08:31:22,DC,0,024,A,A
248,08:31:23,DC,0,024,A,A
249,08:31:24,DC,0,024,A,A
250,08:31:25,DC,0,024,A,A
251,08:31:26,DC,0,024,A,A
252,08:31:27,DC,0,024,A,A
253,08:31:28,DC,0,024,A,A
254,08:31:29,DC,0,024,A,A
255,08:31:30,DC,0,023,A,A
256,08:31:31,DC,0,023,A,A
257,08:31:32,DC,0,023,A,A
258,08:31:33,DC,0,024,A,A
259,08:31:34,DC,0,024,A,A
260,08:31:35,DC,0,024,A,A
261,08:31:36,DC,0,024,A,A
262,08:31:37,DC,0,024,A,A
263,08:31:38,DC,0,024,A,A
264,08:31:39,DC,0,024,A,A
265,08:31:40,DC,0,024,A,A
266,08:31:41,DC,0,024,A,A
267,08:31:42,DC,0,024,A,A
268,08:31:43,DC,0,023,A,A
269,08:31:44,DC,0,023,A,A
270,08:31:45,DC,0,024,A,A
271,08:31:46,DC,0,024,A,A
272,08:31:47,DC,0,024,A,A
273,08:31:48,DC,0,024,A,A
274,08:31:49,DC,0,024,A,A
275,08:31:50,DC,0,024,A,A
276,08:31:51,DC,0,024,A,A
277,08:31:52,DC,0,023,A,A
278,08:31:53,DC,0,023,A,A
279,08:31:54,DC,0,024,A,A
280,08:31:55,DC,0,023,A,A
281,08:31:56,DC,0,023,A,A
282,08:31:57,DC,0,023,A,A
283,08:31:58,DC,0,023,A,A
284,08:31:59,DC,0,024,A,A
285,08:32:00,DC,0,024,A,A
286,08:32:01,DC,0,024,A,A
287,08:32:02,DC,0,024,A,A
288,08:32:03,DC,0,024,A,A
289,08:32:04,DC,0,024,A,A
290,08:32:05,DC,0,024,A,A
291,08:32:06,DC,0,023,A,A
292,08:32:07,DC,0,023,A,A
293,08:32:08,DC,0,02,A,A
294,08:32:09,DC,0,018,A,A
295,08:32:10,DC,0,017,A,A
296,08:32:11,DC,0,018,A,A
297,08:32:12,DC,0,018,A,A
298,08:32:13,DC,0,018,A,A
299,08:32:14,DC,0,018,A,A
300,08:32:15,DC,0,018,A,A
301,08:32:16,DC,0,018,A,A
302,08:32:17,DC,0,018,A,A
303,08:32:18,DC,0,017,A,A
304,08:32:19,DC,0,018,A,A
305,08:32:20,DC,0,018,A,A
306,08:32:21,DC,0,018,A,A
307,08:32:22,DC,0,018,A,A
308,08:32:23,DC,0,018,A,A
309,08:32:24,DC,0,018,A,A
310,08:32:25,DC,0,018,A,A
311,08:32:26,DC,0,018,A,A
312,08:32:27,DC,0,018,A,A
313,08:32:28,DC,0,018,A,A
314,08:32:29,DC,0,018,A,A
315,08:32:30,DC,0,018,A,A
316,08:32:31,DC,0,018,A,A
317,08:32:32,DC,0,018,A,A
318,08:32:33,DC,0,018,A,A
319,08:32:34,DC,0,018,A,A
320,08:32:35,DC,0,018,A,A
321,08:32:36,DC,0,018,A,A
322,08:32:37,DC,0,018,A,A
323,08:32:38,DC,0,018,A,A
324,08:32:39,DC,0,018,A,A
325,08:32:40,DC,0,018,A,A
326,08:32:41,DC,0,018,A,A
327,08:32:42,DC,0,018,A,A
328,08:32:43,DC,0,018,A,A
329,08:32:44,DC,0,018,A,A
330,08:32:45,DC,0,018,A,A
331,08:32:46,DC,0,018,A,A
332,08:32:47,DC,0,018,A,A
333,08:32:48,DC,0,018,A,A
334,08:32:49,DC,0,018,A,A
335,08:32:50,DC,0,018,A,A
336,08:32:51,DC,0,018,A,A
337,08:32:52,DC,0,018,A,A
338,08:32:53,DC,0,018,A,A
339,08:32:54,DC,0,018,A,A
340,08:32:55,DC,0,018,A,A
341,08:32:56,DC,0,018,A,A
342,08:32:57,DC,0,018,A,A
343,08:32:58,DC,0,018,A,A
344,08:32:59,DC,0,018,A,A
345,08:33:00,DC,0,018,A,A
346,08:33:01,DC,0,018,A,A
347,08:33:02,DC,0,018,A,A
348,08:33:03,DC,0,018,A,A
349,08:33:04,DC,0,018,A,A
350,08:33:05,DC,0,018,A,A
351,08:33:06,DC,0,018,A,A
352,08:33:07,DC,0,02,A,A
353,08:33:08,DC,0,021,A,A
354,08:33:09,DC,0,023,A,A
355,08:33:10,DC,0,023,A,A
356,08:33:11,DC,0,024,A,A
357,08:33:12,DC,0,024,A,A
358,08:33:13,DC,0,024,A,A
359,08:33:14,DC,0,024,A,A
360,08:33:15,DC,0,024,A,A
361,08:33:16,DC,0,024,A,A
362,08:33:17,DC,0,024,A,A
363,08:33:18,DC,0,024,A,A
364,08:33:19,DC,0,024,A,A
365,08:33:20,DC,0,024,A,A
366,08:33:21,DC,0,023,A,A
367,08:33:22,DC,0,023,A,A
368,08:33:23,DC,0,023,A,A
369,08:33:24,DC,0,023,A,A
370,08:33:25,DC,0,023,A,A
371,08:33:26,DC,0,023,A,A
372,08:33:27,DC,0,023,A,A
373,08:33:28,DC,0,023,A,A
374,08:33:29,DC,0,023,A,A
375,08:33:30,DC,0,023,A,A
376,08:33:31,DC,0,024,A,A
377,08:33:32,DC,0,023,A,A
378,08:33:33,DC,0,023,A,A
379,08:33:34,DC,0,023,A,A
380,08:33:35,DC,0,023,A,A
381,08:33:36,DC,0,024,A,A
382,08:33:37,DC,0,024,A,A
383,08:33:38,DC,0,024,A,A
384,08:33:39,DC,0,023,A,A
385,08:33:40,DC,0,023,A,A
386,08:33:41,DC,0,023,A,A
387,08:33:42,DC,0,024,A,A
388,08:33:43,DC,0,023,A,A
389,08:33:44,DC,0,023,A,A
390,08:33:45,DC,0,023,A,A
391,08:33:46,DC,0,023,A,A
392,08:33:47,DC,0,024,A,A
393,08:33:48,DC,0,023,A,A
394,08:33:49,DC,0,023,A,A
395,08:33:50,DC,0,023,A,A
396,08:33:51,DC,0,023,A,A
397,08:33:52,DC,0,024,A,A
398,08:33:53,DC,0,024,A,A
399,08:33:54,DC,0,023,A,A
400,08:33:55,DC,0,023,A,A
401,08:33:56,DC,0,023,A,A
402,08:33:57,DC,0,023,A,A
403,08:33:58,DC,0,023,A,A
404,08:33:59,DC,0,023,A,A
405,08:34:00,DC,0,023,A,A
406,08:34:01,DC,0,023,A,A
407,08:34:02,DC,0,024,A,A
408,08:34:03,DC,0,024,A,A
409,08:34:04,DC,0,024,A,A
410,08:34:05,DC,0,023,A,A
411,08:34:06,DC,0,023,A,A
412,08:34:07,DC,0,022,A,A
413,08:34:08,DC,0,019,A,A
414,08:34:09,DC,0,018,A,A
415,08:34:10,DC,0,018,A,A
416,08:34:11,DC,0,017,A,A
417,08:34:12,DC,0,017,A,A
418,08:34:13,DC,0,017,A,A
419,08:34:14,DC,0,018,A,A
420,08:34:15,DC,0,018,A,A
421,08:34:16,DC,0,018,A,A
422,08:34:17,DC,0,018,A,A
423,08:34:18,DC,0,018,A,A
424,08:34:19,DC,0,018,A,A
425,08:34:20,DC,0,018,A,A
426,08:34:21,DC,0,018,A,A
427,08:34:22,DC,0,018,A,A
428,08:34:23,DC,0,018,A,A
429,08:34:24,DC,0,018,A,A
430,08:34:25,DC,0,018,A,A
431,08:34:26,DC,0,018,A,A
432,08:34:27,DC,0,018,A,A
433,08:34:28,DC,0,018,A,A
434,08:34:29,DC,0,018,A,A
435,08:34:30,DC,0,018,A,A
436,08:34:31,DC,0,018,A,A
437,08:34:32,DC,0,019,A,A
438,08:34:33,DC,0,018,A,A
439,08:34:34,DC,0,018,A,A
440,08:34:35,DC,0,018,A,A
441,08:34:36,DC,0,018,A,A
442,08:34:37,DC,0,018,A,A
443,08:34:38,DC,0,018,A,A
444,08:34:39,DC,0,018,A,A
445,08:34:40,DC,0,018,A,A
446,08:34:41,DC,0,018,A,A
447,08:34:42,DC,0,018,A,A
448,08:34:43,DC,0,018,A,A
449,08:34:44,DC,0,018,A,A
450,08:34:45,DC,0,018,A,A
451,08:34:46,DC,0,018,A,A
452,08:34:47,DC,0,018,A,A
453,08:34:48,DC,0,018,A,A
454,08:34:49,DC,0,018,A,A
455,08:34:50,DC,0,018,A,A
456,08:34:51,DC,0,018,A,A
457,08:34:52,DC,0,018,A,A
458,08:34:53,DC,0,018,A,A
459,08:34:54,DC,0,018,A,A
460,08:34:55,DC,0,018,A,A
461,08:34:56,DC,0,018,A,A
462,08:34:57,DC,0,018,A,A
463,08:34:58,DC,0,018,A,A
464,08:34:59,DC,0,018,A,A
465,08:35:00,DC,0,018,A,A
466,08:35:01,DC,0,018,A,A
467,08:35:02,DC,0,018,A,A
468,08:35:03,DC,0,018,A,A
469,08:35:04,DC,0,018,A,A
470,08:35:05,DC,0,018,A,A
471,08:35:06,DC,0,018,A,A
472,08:35:07,DC,0,02,A,A
473,08:35:08,DC,0,022,A,A
474,08:35:09,DC,0,024,A,A
475,08:35:10,DC,0,024,A,A
476,08:35:11,DC,0,024,A,A
477,08:35:12,DC,0,024,A,A
478,08:35:13,DC,0,024,A,A
479,08:35:14,DC,0,023,A,A
480,08:35:15,DC,0,023,A,A
481,08:35:16,DC,0,024,A,A
482,08:35:17,DC,0,024,A,A
483,08:35:18,DC,0,024,A,A
484,08:35:19,DC,0,023,A,A
485,08:35:20,DC,0,023,A,A
486,08:35:21,DC,0,023,A,A
487,08:35:22,DC,0,024,A,A
488,08:35:23,DC,0,024,A,A
489,08:35:24,DC,0,024,A,A
490,08:35:25,DC,0,023,A,A
491,08:35:26,DC,0,023,A,A
492,08:35:27,DC,0,023,A,A
493,08:35:28,DC,0,023,A,A
494,08:35:29,DC,0,023,A,A
495,08:35:30,DC,0,024,A,A
496,08:35:31,DC,0,024,A,A
497,08:35:32,DC,0,023,A,A
498,08:35:33,DC,0,023,A,A
499,08:35:34,DC,0,023,A,A
500,08:35:35,DC,0,024,A,A
501,08:35:36,DC,0,023,A,A
502,08:35:37,DC,0,023,A,A
503,08:35:38,DC,0,023,A,A
504,08:35:39,DC,0,023,A,A
505,08:35:40,DC,0,023,A,A
506,08:35:41,DC,0,023,A,A
507,08:35:42,DC,0,023,A,A
508,08:35:43,DC,0,023,A,A
509,08:35:44,DC,0,023,A,A
510,08:35:45,DC,0,023,A,A
511,08:35:46,DC,0,024,A,A
512,08:35:47,DC,0,023,A,A
513,08:35:48,DC,0,023,A,A
514,08:35:49,DC,0,023,A,A
515,08:35:50,DC,0,023,A,A
516,08:35:51,DC,0,023,A,A
517,08:35:52,DC,0,023,A,A
518,08:35:53,DC,0,024,A,A
519,08:35:54,DC,0,024,A,A
520,08:35:55,DC,0,024,A,A
521,08:35:56,DC,0,024,A,A
522,08:35:57,DC,0,024,A,A
523,08:35:58,DC,0,024,A,A
524,08:35:59,DC,0,023,A,A
525,08:36:00,DC,0,023,A,A
526,08:36:01,DC,0,024,A,A
527,08:36:02,DC,0,024,A,A
528,08:36:03,DC,0,024,A,A
529,08:36:04,DC,0,024,A,A
530,08:36:05,DC,0,024,A,A
531,08:36:06,DC,0,024,A,A
532,08:36:07,DC,0,022,A,A
533,08:36:08,DC,0,02,A,A
534,08:36:09,DC,0,017,A,A
535,08:36:10,DC,0,017,A,A
536,08:36:11,DC,0,017,A,A
537,08:36:12,DC,0,018,A,A
538,08:36:13,DC,0,018,A,A
539,08:36:14,DC,0,018,A,A
540,08:36:15,DC,0,018,A,A
541,08:36:16,DC,0,018,A,A
542,08:36:17,DC,0,018,A,A
543,08:36:18,DC,0,017,A,A
544,08:36:19,DC,0,018,A,A
545,08:36:20,DC,0,018,A,A
546,08:36:21,DC,0,018,A,A
547,08:36:22,DC,0,018,A,A
548,08:36:23,DC,0,018,A,A
549,08:36:24,DC,0,018,A,A
550,08:36:25,DC,0,018,A,A
551,08:36:26,DC,0,018,A,A
552,08:36:27,DC,0,018,A,A
553,08:36:28,DC,0,018,A,A
554,08:36:29,DC,0,018,A,A
555,08:36:30,DC,0,018,A,A
556,08:36:31,DC,0,018,A,A
557,08:36:32,DC,0,018,A,A
558,08:36:33,DC,0,018,A,A
559,08:36:34,DC,0,018,A,A
560,08:36:35,DC,0,018,A,A
561,08:36:36,DC,0,018,A,A
562,08:36:37,DC,0,018,A,A
563,08:36:38,DC,0,018,A,A
564,08:36:39,DC,0,018,A,A
565,08:36:40,DC,0,018,A,A
566,08:36:41,DC,0,018,A,A
567,08:36:42,DC,0,018,A,A
568,08:36:43,DC,0,018,A,A
569,08:36:44,DC,0,018,A,A
570,08:36:45,DC,0,018,A,A
571,08:36:46,DC,0,018,A,A
572,08:36:47,DC,0,018,A,A
573,08:36:48,DC,0,018,A,A
574,08:36:49,DC,0,018,A,A
575,08:36:50,DC,0,018,A,A
576,08:36:51,DC,0,018,A,A
577,08:36:52,DC,0,018,A,A
578,08:36:53,DC,0,018,A,A
579,08:36:54,DC,0,018,A,A
580,08:36:55,DC,0,018,A,A
581,08:36:56,DC,0,018,A,A
582,08:36:57,DC,0,018,A,A
583,08:36:58,DC,0,018,A,A
584,08:36:59,DC,0,018,A,A
585,08:37:00,DC,0,018,A,A
586,08:37:01,DC,0,018,A,A
587,08:37:02,DC,0,018,A,A
588,08:37:03,DC,0,018,A,A
589,08:37:04,DC,0,018,A,A
590,08:37:05,DC,0,018,A,A
591,08:37:06,DC,0,018,A,A
592,08:37:07,DC,0,02,A,A
593,08:37:08,DC,0,022,A,A
594,08:37:09,DC,0,023,A,A
595,08:37:10,DC,0,023,A,A
596,08:37:11,DC,0,024,A,A
597,08:37:12,DC,0,023,A,A
598,08:37:13,DC,0,023,A,A
599,08:37:14,DC,0,023,A,A
600,08:37:15,DC,0,023,A,A
601,08:37:16,DC,0,024,A,A
602,08:37:17,DC,0,023,A,A
603,08:37:18,DC,0,023,A,A
604,08:37:19,DC,0,023,A,A
605,08:37:20,DC,0,023,A,A
606,08:37:21,DC,0,023,A,A
607,08:37:22,DC,0,024,A,A
608,08:37:23,DC,0,024,A,A
609,08:37:24,DC,0,024,A,A
610,08:37:25,DC,0,024,A,A
611,08:37:26,DC,0,023,A,A
612,08:37:27,DC,0,023,A,A
613,08:37:28,DC,0,023,A,A
614,08:37:29,DC,0,023,A,A
615,08:37:30,DC,0,023,A,A
616,08:37:31,DC,0,023,A,A
617,08:37:32,DC,0,023,A,A
618,08:37:33,DC,0,023,A,A
619,08:37:34,DC,0,024,A,A
620,08:37:35,DC,0,024,A,A
621,08:37:36,DC,0,024,A,A
622,08:37:37,DC,0,024,A,A
623,08:37:38,DC,0,023,A,A
624,08:37:39,DC,0,023,A,A
625,08:37:40,DC,0,023,A,A
626,08:37:41,DC,0,023,A,A
627,08:37:42,DC,0,023,A,A
628,08:37:43,DC,0,023,A,A
629,08:37:44,DC,0,024,A,A
630,08:37:45,DC,0,024,A,A
631,08:37:46,DC,0,024,A,A
632,08:37:47,DC,0,024,A,A
633,08:37:48,DC,0,023,A,A
634,08:37:49,DC,0,023,A,A
635,08:37:50,DC,0,023,A,A
636,08:37:51,DC,0,023,A,A
637,08:37:52,DC,0,023,A,A
638,08:37:53,DC,0,023,A,A
639,08:37:54,DC,0,023,A,A
640,08:37:55,DC,0,023,A,A
641,08:37:56,DC,0,023,A,A
642,08:37:57,DC,0,023,A,A
643,08:37:58,DC,0,023,A,A
644,08:37:59,DC,0,023,A,A
645,08:38:00,DC,0,023,A,A
646,08:38:01,DC,0,023,A,A
647,08:38:02,DC,0,024,A,A
648,08:38:03,DC,0,023,A,A
649,08:38:04,DC,0,023,A,A
650,08:38:05,DC,0,024,A,A
651,08:38:06,DC,0,024,A,A
652,08:38:07,DC,0,021,A,A
653,08:38:08,DC,0,019,A,A
654,08:38:09,DC,0,018,A,A
655,08:38:10,DC,0,018,A,A
656,08:38:11,DC,0,018,A,A
657,08:38:12,DC,0,018,A,A
658,08:38:13,DC,0,018,A,A
659,08:38:14,DC,0,018,A,A
660,08:38:15,DC,0,018,A,A
661,08:38:16,DC,0,018,A,A
662,08:38:17,DC,0,018,A,A
663,08:38:18,DC,0,018,A,A
664,08:38:19,DC,0,018,A,A
665,08:38:20,DC,0,018,A,A
666,08:38:21,DC,0,018,A,A
667,08:38:22,DC,0,018,A,A
668,08:38:23,DC,0,018,A,A
669,08:38:24,DC,0,018,A,A
670,08:38:25,DC,0,018,A,A
671,08:38:26,DC,0,018,A,A
672,08:38:27,DC,0,018,A,A
673,08:38:28,DC,0,018,A,A
674,08:38:29,DC,0,018,A,A
675,08:38:30,DC,0,018,A,A
676,08:38:31,DC,0,018,A,A
677,08:38:32,DC,0,018,A,A
678,08:38:33,DC,0,018,A,A
679,08:38:34,DC,0,018,A,A
680,08:38:35,DC,0,018,A,A
681,08:38:36,DC,0,018,A,A
682,08:38:37,DC,0,018,A,A
683,08:38:38,DC,0,018,A,A
684,08:38:39,DC,0,018,A,A
685,08:38:40,DC,0,018,A,A
686,08:38:41,DC,0,018,A,A
687,08:38:42,DC,0,018,A,A
688,08:38:43,DC,0,018,A,A
689,08:38:44,DC,0,018,A,A
690,08:38:45,DC,0,018,A,A
691,08:38:46,DC,0,018,A,A
692,08:38:47,DC,0,018,A,A
693,08:38:48,DC,0,018,A,A
694,08:38:49,DC,0,018,A,A
695,08:38:50,DC,0,018,A,A
696,08:38:51,DC,0,018,A,A
697,08:38:52,DC,0,018,A,A
698,08:38:53,DC,0,018,A,A
699,08:38:54,DC,0,018,A,A
700,08:38:55,DC,0,018,A,A
701,08:38:56,DC,0,018,A,A
702,08:38:57,DC,0,018,A,A
703,08:38:58,DC,0,018,A,A
704,08:38:59,DC,0,018,A,A
705,08:39:00,DC,0,018,A,A
706,08:39:01,DC,0,018,A,A
707,08:39:02,DC,0,018,A,A
708,08:39:03,DC,0,018,A,A
709,08:39:04,DC,0,018,A,A
710,08:39:05,DC,0,018,A,A
711,08:39:06,DC,0,018,A,A
712,08:39:07,DC,0,02,A,A
713,08:39:08,DC,0,022,A,A
714,08:39:09,DC,0,024,A,A
715,08:39:10,DC,0,024,A,A
716,08:39:11,DC,0,023,A,A
717,08:39:12,DC,0,023,A,A
718,08:39:13,DC,0,023,A,A
719,08:39:14,DC,0,023,A,A
720,08:39:15,DC,0,023,A,A
721,08:39:16,DC,0,023,A,A
722,08:39:17,DC,0,023,A,A
723,08:39:18,DC,0,024,A,A
724,08:39:19,DC,0,023,A,A
725,08:39:20,DC,0,023,A,A
726,08:39:21,DC,0,023,A,A
727,08:39:22,DC,0,023,A,A
728,08:39:23,DC,0,023,A,A
729,08:39:24,DC,0,023,A,A
730,08:39:25,DC,0,023,A,A
731,08:39:26,DC,0,024,A,A
732,08:39:27,DC,0,023,A,A
733,08:39:28,DC,0,023,A,A
734,08:39:29,DC,0,023,A,A
735,08:39:30,DC,0,023,A,A
